index,Station,Lat,Long,Alt,Date,O18Avg,H2avg,dex,Precipitation (kg/m^2/s),Temperature (K)
2699,OTT,45.32,-75.67,114.0,1972-06-15,-12.05,,,8.1470476e-05,286.01263
2715,OTT,45.32,-75.67,114.0,1972-07-15,-5.6,,,0.0,296.1163
2734,OTT,45.32,-75.67,114.0,1972-08-15,-9.28,,,6.925853e-05,294.75388
2753,OTT,45.32,-75.67,114.0,1972-09-15,-8.02,,,7.990475e-05,286.1139
2770,OTT,45.32,-75.67,114.0,1972-10-15,-10.64,,,0.00030099216,278.8228
2788,OTT,45.32,-75.67,114.0,1972-11-15,-16.41,,,4.3469536e-05,270.78098
2806,OTT,45.32,-75.67,114.0,1972-12-15,-14.71,-99.3,,1.052708e-05,269.3926
2824,OTT,45.32,-75.67,114.0,1973-01-15,-15.27,-100.2,,9.910059e-06,268.10315
2834,OTT,45.32,-75.67,114.0,1973-02-15,-12.87,-81.3,,0.0,266.5964
2861,OTT,45.32,-75.67,114.0,1973-03-15,-5.4,-35.4,,0.0,274.91965
2876,OTT,45.32,-75.67,114.0,1973-04-15,-10.47,-70.2,,6.381716e-05,280.88333
2896,OTT,45.32,-75.67,114.0,1973-05-15,-9.59,-60.5,,3.4948076e-05,290.3764
2915,OTT,45.32,-75.67,114.0,1973-06-15,-7.24,-33.8,,1.905913e-05,293.38608
2928,OTT,45.32,-75.67,114.0,1973-07-15,-9.0,-60.4,,0.0,295.4432
2950,OTT,45.32,-75.67,114.0,1973-08-15,-6.81,-41.8,,0.0,294.55377
2969,OTT,45.32,-75.67,114.0,1973-09-15,-7.51,-47.7,,0.0,293.07758
2984,OTT,45.32,-75.67,114.0,1973-10-15,-7.59,-46.5,,1.2267626e-05,282.74582
2997,OTT,45.32,-75.67,114.0,1973-11-15,-11.2,-78.3,,0.0,271.126
3018,OTT,45.32,-75.67,114.0,1973-12-15,-15.02,-101.7,,1.0418852e-05,276.89145
3038,OTT,45.32,-75.67,114.0,1974-01-15,-15.81,-112.8,,0.0,266.30652
3059,OTT,45.32,-75.67,114.0,1974-02-15,-18.13,-130.4,,0.0,247.5197
3070,OTT,45.32,-75.67,114.0,1974-03-15,-16.58,-118.9,,0.0,258.8368
3095,OTT,45.32,-75.67,114.0,1974-04-15,-7.25,-46.8,,9.657929e-05,272.17624
3106,OTT,45.32,-75.67,114.0,1974-05-15,-8.26,-50.1,,0.0,289.9664
3131,OTT,45.32,-75.67,114.0,1974-06-15,-4.69,,,3.8261478e-05,290.57248
3142,OTT,45.32,-75.67,114.0,1974-07-15,-7.61,-48.4,,0.0,289.62903
3167,OTT,45.32,-75.67,114.0,1974-08-15,-7.11,-47.8,,0.00034930816,290.55573
3185,OTT,45.32,-75.67,114.0,1974-09-15,-9.5,-64.6,,9.332532e-05,288.8429
3192,OTT,45.32,-75.67,114.0,1974-10-15,-8.15,-53.2,,0.0,275.0818
3239,OTT,45.32,-75.67,114.0,1974-12-15,-16.67,-115.1,,3.0552892e-05,269.66122
3257,OTT,45.32,-75.67,114.0,1975-01-15,-17.39,-126.6,,0.0001334193,276.7091
3293,OTT,45.32,-75.67,114.0,1975-03-15,-14.38,-101.0,,0.0,266.2731
3328,OTT,45.32,-75.67,114.0,1975-05-15,-4.89,-36.9,,2.020881e-05,284.66867
3333,OTT,45.32,-75.67,114.0,1975-06-15,-10.68,-75.7,,0.00010328338,292.357
3364,OTT,45.32,-75.67,114.0,1975-07-15,-8.89,-60.9,,3.8345846e-05,293.6085
3382,OTT,45.32,-75.67,114.0,1975-08-15,-7.54,-47.0,,0.0,290.14636
3400,OTT,45.32,-75.67,114.0,1975-09-15,-7.83,-52.0,,0.0,283.5365
3409,OTT,45.32,-75.67,114.0,1975-10-15,-9.13,-61.2,,0.0,280.50653
3437,OTT,45.32,-75.67,114.0,1975-11-15,-7.11,-43.6,,9.774509e-05,277.53226
3473,OTT,45.32,-75.67,114.0,1976-01-15,-17.84,-127.7,,5.231164e-05,267.74655
3491,OTT,45.32,-75.67,114.0,1976-02-15,-14.59,-104.7,,0.0,264.37894
3506,OTT,45.32,-75.67,114.0,1976-03-15,-11.59,-79.5,,8.852897e-05,262.10712
3527,OTT,45.32,-75.67,114.0,1976-04-15,-11.42,-79.7,,0.0,282.2126
3544,OTT,45.32,-75.67,114.0,1976-05-15,-13.5,-94.5,,0.0,285.45184
3559,OTT,45.32,-75.67,114.0,1976-06-15,-6.38,-38.7,,0.0,287.5777
3573,OTT,45.32,-75.67,114.0,1976-07-15,-9.27,-65.6,,0.0,291.08017
3582,OTT,45.32,-75.67,114.0,1976-08-15,-5.1,-27.7,,0.0,296.35776
3614,OTT,45.32,-75.67,114.0,1976-09-15,-9.59,-62.4,,1.091257e-05,288.4219
3618,OTT,45.32,-75.67,114.0,1976-10-15,-18.91,-134.0,,0.0,281.51938
3636,OTT,45.32,-75.67,114.0,1976-11-15,-10.5,-65.0,,0.0,269.0291
3655,OTT,45.32,-75.67,114.0,1976-12-15,-19.14,-133.7,,1.664415e-05,276.862
3672,OTT,45.32,-75.67,114.0,1977-01-15,-19.75,-139.8,,4.8287544e-05,258.77127
3690,OTT,45.32,-75.67,114.0,1977-02-15,-19.97,-146.2,,6.2410395e-06,255.45029
3708,OTT,45.32,-75.67,114.0,1977-03-15,-14.23,-103.3,,1.1008308e-05,264.62372
3729,OTT,45.32,-75.67,114.0,1977-04-15,-8.22,-56.2,,0.0,273.65762
3762,OTT,45.32,-75.67,114.0,1977-06-15,-7.93,-58.8,,2.5606467e-05,292.07156
3781,OTT,45.32,-75.67,114.0,1977-07-15,-4.74,-33.6,,3.3681044e-05,294.63412
3799,OTT,45.32,-75.67,114.0,1977-08-15,-8.79,-64.5,,5.351104e-05,295.17242
3816,OTT,45.32,-75.67,114.0,1977-09-15,-8.73,-60.8,,0.0,281.98697
3835,OTT,45.32,-75.67,114.0,1977-10-15,-13.65,-95.6,,0.00019097794,289.88593
3852,OTT,45.32,-75.67,114.0,1977-11-15,-14.79,-104.3,,0.0,269.81268
3870,OTT,45.32,-75.67,114.0,1977-12-15,-16.0,-115.6,,0.0,266.36847
3888,OTT,45.32,-75.67,114.0,1978-01-15,-19.05,-136.9,,0.0,253.5661
3908,OTT,45.32,-75.67,114.0,1978-02-15,-20.07,-159.7,,6.2421054e-06,251.75482
3928,OTT,45.32,-75.67,114.0,1978-03-15,-14.43,-99.6,,0.0,258.4431
3942,OTT,45.32,-75.67,114.0,1978-04-15,-7.58,-40.6,,0.00013632681,275.98447
3960,OTT,45.32,-75.67,114.0,1978-05-15,-7.73,-45.7,,6.687408e-05,282.34824
3988,OTT,45.32,-75.67,114.0,1978-06-15,-7.47,-43.2,,0.0,285.89673
3996,OTT,45.32,-75.67,114.0,1978-07-15,-6.88,-38.7,,9.833558e-05,294.93915
4016,OTT,45.32,-75.67,114.0,1978-08-15,-7.72,-42.7,,0.0,292.1886
4047,OTT,45.32,-75.67,114.0,1978-09-15,-3.4,-27.4,,8.204095e-06,289.2013
4061,OTT,45.32,-75.67,114.0,1978-10-15,-10.12,-69.9,,0.0,284.15356
4081,OTT,45.32,-75.67,114.0,1978-11-15,-11.1,-72.2,,0.0,275.7144
4100,OTT,45.32,-75.67,114.0,1978-12-15,-18.0,-130.8,,0.0,271.08466
4120,OTT,45.32,-75.67,114.0,1979-01-15,-18.74,-137.8,,0.0,271.69492
4122,OTT,45.32,-75.67,114.0,1979-02-15,-18.73,-140.5,,9.874863e-06,263.69464
4143,OTT,45.32,-75.67,114.0,1979-03-15,-8.57,-55.2,,0.0,271.49396
4159,OTT,45.32,-75.67,114.0,1979-04-15,-11.69,-89.5,,0.0,276.57138
4177,OTT,45.32,-75.67,114.0,1979-05-15,-8.59,-59.1,,0.0,284.47183
4194,OTT,45.32,-75.67,114.0,1979-06-15,-6.63,-39.0,,2.139397e-05,289.58954
4212,OTT,45.32,-75.67,114.0,1979-07-15,-7.49,-50.3,,0.0,291.65118
4231,OTT,45.32,-75.67,114.0,1979-08-15,-6.85,-42.0,,0.0,292.03854
4249,OTT,45.32,-75.67,114.0,1979-09-15,-11.99,-88.6,,3.3341e-05,290.4341
4266,OTT,45.32,-75.67,114.0,1979-10-15,-9.52,-60.6,,4.6737063e-05,275.43185
4285,OTT,45.32,-75.67,114.0,1979-11-15,-10.76,-73.6,,0.0,273.9098
4302,OTT,45.32,-75.67,114.0,1979-12-15,-14.32,-101.3,,9.5118985e-06,267.05585
4321,OTT,45.32,-75.67,114.0,1980-01-15,-14.32,-98.7,,0.0,250.38107
4338,OTT,45.32,-75.67,114.0,1980-02-15,-14.32,-98.7,,0.0,258.82248
4357,OTT,45.32,-75.67,114.0,1980-03-15,-14.83,-104.6,,1.449158e-05,274.09134
4374,OTT,45.32,-75.67,114.0,1980-04-15,-7.37,-45.9,,4.0487197e-05,277.95016
4405,OTT,45.32,-75.67,114.0,1980-05-15,-7.06,-48.0,,9.833274e-06,290.2716
4410,OTT,45.32,-75.67,114.0,1980-06-15,-6.67,-42.3,,0.0,290.99588
4428,OTT,45.32,-75.67,114.0,1980-07-15,-5.93,-35.8,,0.0,296.27985
4446,OTT,45.32,-75.67,114.0,1980-08-15,-5.5,-32.3,,0.0002073731,291.59866
4464,OTT,45.32,-75.67,114.0,1980-09-15,-6.56,-39.5,,0.0,279.49774
4484,OTT,45.32,-75.67,114.0,1980-10-15,-13.88,-92.0,,3.7798352e-05,285.48615
4500,OTT,45.32,-75.67,114.0,1980-11-15,-14.33,-95.4,,0.0,280.36664
4518,OTT,45.32,-75.67,114.0,1980-12-15,-18.09,-121.2,,5.176962e-05,270.84003
4555,OTT,45.32,-75.67,114.0,1981-02-15,-10.67,-74.4,,0.0,262.63385
4572,OTT,45.32,-75.67,114.0,1981-03-15,-10.48,-69.7,,0.0,269.6734
4590,OTT,45.32,-75.67,114.0,1981-04-15,-4.05,-50.2,,0.0,277.06592
4625,OTT,45.32,-75.67,114.0,1981-05-15,-6.56,-38.2,,0.0,280.67804
4626,OTT,45.32,-75.67,114.0,1981-06-15,-8.44,-52.5,,0.0,287.76636
4661,OTT,45.32,-75.67,114.0,1981-07-15,-8.1,-64.5,,0.0,291.5606
4664,OTT,45.32,-75.67,114.0,1981-08-15,-8.4,-66.5,,0.00010007993,293.16003
4689,OTT,45.32,-75.67,114.0,1981-09-15,-11.3,-82.0,,0.0,292.9216
4705,OTT,45.32,-75.67,114.0,1981-10-15,-11.4,-84.5,,0.0,284.87784
4733,OTT,45.32,-75.67,114.0,1981-11-15,-11.9,-82.5,,0.0,267.84152
4736,OTT,45.32,-75.67,114.0,1981-12-15,-17.4,-127.5,,0.0,275.3019
4762,OTT,45.32,-75.67,114.0,1982-01-15,-16.1,-118.5,,0.0,252.98514
4787,OTT,45.32,-75.67,114.0,1982-02-15,-14.2,-120.0,,0.0,246.14604
4788,OTT,45.32,-75.67,114.0,1982-03-15,-8.4,-62.5,,0.0,260.07898
4814,OTT,45.32,-75.67,114.0,1982-04-15,-5.8,-44.5,,0.0,280.04007
4836,OTT,45.32,-75.67,114.0,1982-05-15,-5.0,-37.0,,4.208159e-05,283.73215
4857,OTT,45.32,-75.67,114.0,1982-06-15,-7.9,-54.0,,4.2126103e-05,289.20566
4877,OTT,45.32,-75.67,114.0,1982-07-15,-8.2,-63.0,,0.0,298.18454
4879,OTT,45.32,-75.67,114.0,1982-08-15,-13.5,-96.0,,0.0,296.68625
4913,OTT,45.32,-75.67,114.0,1982-09-15,-10.6,-76.0,,2.0161926e-05,291.31424
4931,OTT,45.32,-75.67,114.0,1982-10-15,-8.4,-60.5,,0.0,279.20667
4949,OTT,45.32,-75.67,114.0,1982-11-15,-9.8,-68.5,,8.489656e-06,272.58517
4966,OTT,45.32,-75.67,114.0,1982-12-15,-12.1,-79.5,,0.0,258.7288
4984,OTT,45.32,-75.67,114.0,1983-01-15,-13.45,-93.6,,2.3297544e-05,271.68954
4993,OTT,45.32,-75.67,114.0,1983-02-15,-14.1,-93.0,,0.0,258.4709
5018,OTT,45.32,-75.67,114.0,1983-03-15,-10.45,-74.9,,8.6604305e-05,277.2846
5038,OTT,45.32,-75.67,114.0,1983-04-15,-11.9,-83.0,,0.0,278.57095
5056,OTT,45.32,-75.67,114.0,1983-05-15,-6.85,-47.5,,2.7869071e-05,281.37158
5074,OTT,45.32,-75.67,114.0,1983-06-15,-7.1,-49.5,,2.5357476e-05,293.22522
5092,OTT,45.32,-75.67,114.0,1983-07-15,-7.4,-54.5,,0.0,292.2455
5108,OTT,45.32,-75.67,114.0,1983-08-15,-6.75,-49.0,,0.0,288.54187
5115,OTT,45.32,-75.67,114.0,1983-09-15,-8.3,-53.5,,0.0,281.34372
5143,OTT,45.32,-75.67,114.0,1983-10-15,-12.15,-85.0,,0.0,276.69705
5148,OTT,45.32,-75.67,114.0,1983-11-15,-13.8,-93.9,,0.0,271.54248
5175,OTT,45.32,-75.67,114.0,1983-12-15,-16.5,-116.8,,0.0,270.4672
5184,OTT,45.32,-75.67,114.0,1984-01-15,-21.0,-154.0,,0.0,252.0955
5203,OTT,45.32,-75.67,114.0,1984-02-15,-12.7,-92.1,,0.00010190652,260.03656
5221,OTT,45.32,-75.67,114.0,1984-03-15,-13.45,-94.3,,1.5123438e-05,271.45618
5244,OTT,45.32,-75.67,114.0,1984-04-15,-11.9,-87.6,,0.0,283.53732
5256,OTT,45.32,-75.67,114.0,1984-05-15,-10.1,-72.6,,0.00010166906,283.73416
5292,OTT,45.32,-75.67,114.0,1984-07-15,-8.25,-60.3,,0.0,289.9548
5310,OTT,45.32,-75.67,114.0,1984-08-15,-6.9,-49.5,,6.520214e-05,292.74887
5328,OTT,45.32,-75.67,114.0,1984-09-15,-7.3,-70.0,,0.00023106884,284.53403
5347,OTT,45.32,-75.67,114.0,1984-10-15,-9.3,-61.8,,0.0,278.4127
5365,OTT,45.32,-75.67,114.0,1984-11-15,-8.15,-54.6,,1.1125299e-05,269.65964
5383,OTT,45.32,-75.67,114.0,1984-12-15,-15.9,-117.3,,0.0,264.96756
5400,OTT,45.32,-75.67,114.0,1985-01-15,-17.5,-126.0,,0.0,260.7931
5419,OTT,45.32,-75.67,114.0,1985-02-15,-15.2,-113.5,,4.331955e-05,271.63968
5436,OTT,45.32,-75.67,114.0,1985-03-15,-13.65,-96.6,,0.0,271.767
5454,OTT,45.32,-75.67,114.0,1985-04-15,-13.15,-91.4,,0.0,284.51642
5489,OTT,45.32,-75.67,114.0,1985-05-15,-9.75,-88.0,,3.7354726e-05,289.5462
5507,OTT,45.32,-75.67,114.0,1985-06-15,-10.2,-73.0,,0.0,290.0739
5508,OTT,45.32,-75.67,114.0,1985-07-15,-9.42,-67.4,,0.0,290.6763
5527,OTT,45.32,-75.67,114.0,1985-08-15,-7.57,-50.0,,0.0,288.7733
5559,OTT,45.32,-75.67,114.0,1985-09-15,-8.09,-58.6,,0.0,283.9125
5562,OTT,45.32,-75.67,114.0,1985-10-15,-7.99,-54.2,,6.848192e-05,282.95065
5600,OTT,45.32,-75.67,114.0,1985-12-15,-23.8,-179.2,,0.0,266.77255
5616,OTT,45.32,-75.67,114.0,1986-01-15,-17.15,-124.5,,0.0,271.30765
5650,OTT,45.32,-75.67,114.0,1986-02-15,-16.09,-120.6,,5.1345134e-05,260.8034
5668,OTT,45.32,-75.67,114.0,1986-03-15,-14.96,-104.7,,0.0,273.04803
5705,OTT,45.32,-75.67,114.0,1986-05-15,-7.28,-53.4,,0.0,289.30487
5706,OTT,45.32,-75.67,114.0,1986-06-15,-8.37,-61.1,,0.0,289.9281
5741,OTT,45.32,-75.67,114.0,1986-07-15,-8.68,-62.0,,0.0,296.89767
5751,OTT,45.32,-75.67,114.0,1986-08-15,-7.92,-56.2,,0.0,290.84344
5763,OTT,45.32,-75.67,114.0,1986-09-15,-8.05,-55.3,,0.0,284.9202
5793,OTT,45.32,-75.67,114.0,1986-10-15,-11.09,-73.6,,0.0,274.90567
5811,OTT,45.32,-75.67,114.0,1986-11-15,-16.06,-110.3,,0.0,275.33957
5819,OTT,45.32,-75.67,114.0,1986-12-15,-16.81,-119.6,,0.0,260.98215
5832,OTT,45.32,-75.67,114.0,1987-01-15,-22.01,-164.1,,1.3312207e-05,252.30833
5857,OTT,45.32,-75.67,114.0,1987-02-15,-20.16,-149.4,,0.0,264.08807
5884,OTT,45.32,-75.67,114.0,1987-03-15,-13.23,-94.0,,0.0,281.22452
5896,OTT,45.32,-75.67,114.0,1987-04-15,-10.66,-73.4,,0.0,277.2
5919,OTT,45.32,-75.67,114.0,1987-05-15,-4.27,-37.9,,0.00022325372,282.74268
5930,OTT,45.32,-75.67,114.0,1987-06-15,-7.07,-52.9,,0.0,289.13382
5940,OTT,45.32,-75.67,114.0,1987-07-15,-4.82,-39.9,,0.0,294.5617
5975,OTT,45.32,-75.67,114.0,1987-08-15,-6.48,-42.9,,3.0074258e-05,294.11777
5976,OTT,45.32,-75.67,114.0,1987-09-15,-7.87,-55.7,,0.0,284.2002
6010,OTT,45.32,-75.67,114.0,1987-10-15,-11.48,-77.9,,0.0,278.58325
6012,OTT,45.32,-75.67,114.0,1987-11-15,-11.39,-79.0,,8.010073e-06,278.53003
6041,OTT,45.32,-75.67,114.0,1987-12-15,-14.14,-100.8,,1.276345e-05,270.5708
6065,OTT,45.32,-75.67,114.0,1988-01-15,-15.4,-111.8,,0.00012725091,252.38803
6066,OTT,45.32,-75.67,114.0,1988-02-15,-15.64,-114.2,,3.6182548e-05,259.2173
6099,OTT,45.32,-75.67,114.0,1988-03-15,-11.3,-78.2,,5.1494815e-05,267.8658
6119,OTT,45.32,-75.67,114.0,1988-04-15,-11.56,-82.0,,0.0,268.76004
6136,OTT,45.32,-75.67,114.0,1988-05-15,-5.66,-43.5,,0.0001661878,280.45453
6151,OTT,45.32,-75.67,114.0,1988-06-15,-7.26,-49.7,,0.0,288.66748
6171,OTT,45.32,-75.67,114.0,1988-07-15,-8.95,-63.2,,0.0,293.67825
6176,OTT,45.32,-75.67,114.0,1988-08-15,-7.79,-53.5,,0.00015392718,293.98074
6195,OTT,45.32,-75.67,114.0,1988-09-15,-8.18,-60.6,,0.0,288.38358
6227,OTT,45.32,-75.67,114.0,1988-10-15,-13.44,-98.5,,0.0,280.71402
6245,OTT,45.32,-75.67,114.0,1988-11-15,-12.45,-89.5,,0.0,275.0125
6246,OTT,45.32,-75.67,114.0,1988-12-15,-14.24,-95.4,,0.0,259.92902
6277,RES,74.43,-94.59,67.0,1989-01-02,-36.03,-302.3,-14.060000000000002,0.0,240.95143
6279,ALR,82.31,-62.17,30.0,1989-01-02,-35.66916666666666,-271.03749999999997,14.31583333333333,0.0,237.47467
6280,EUR,79.59,-85.56,10.0,1989-01-02,-32.72,-262.9,-1.1399999999999864,0.0,236.86882
6285,OTT,45.32,-75.67,114.0,1989-01-15,-15.22,-106.4,,0.0,253.48776
6302,RES,74.43,-94.59,67.0,1989-02-02,-29.32,-238.5,-3.9399999999999977,0.0,243.7146
6306,ALR,82.31,-62.17,30.0,1989-02-02,-37.52833333333333,-287.0541666666666,13.172500000000014,0.0,238.62344
6309,EUR,79.59,-85.56,10.0,1989-02-02,-34.89,-277.7,1.420000000000016,0.0,245.8115
6318,OTT,45.32,-75.67,114.0,1989-02-15,-20.23,-147.4,,0.0,270.57428
6336,RES,74.43,-94.59,67.0,1989-03-02,-35.57,-266.7,17.860000000000014,0.0,242.7843
6343,EUR,79.59,-85.56,10.0,1989-03-02,-34.35,-260.3,14.5,0.0,238.85031
6344,ALR,82.31,-62.17,30.0,1989-03-02,-38.5,-278.8,29.19999999999999,0.0,240.91035
6353,CAM,69.6,-105.8,27.0,1989-03-02,-33.61,-251.1,17.78,0.0,240.63681
6355,OTT,45.32,-75.67,114.0,1989-03-15,-14.96,-107.3,,0.0,268.59924
6381,RES,74.43,-94.59,67.0,1989-04-02,-29.29,-219.5,14.819999999999993,0.0,245.64702
6385,ALR,82.31,-62.17,30.0,1989-04-02,-34.8,-254.4,23.99999999999997,2.4548883e-06,241.1968
6386,EUR,79.59,-85.56,10.0,1989-04-02,-31.72,-233.3,20.45999999999998,0.0,242.2556
6388,CAM,69.6,-105.8,27.0,1989-04-02,-32.22,-236.2,21.560000000000002,0.0,243.55705
6399,OTT,45.32,-75.67,114.0,1989-04-15,-10.54,-68.9,,0.0,274.995
6408,CAM,69.6,-105.8,27.0,1989-05-02,-25.12,-188.6,12.360000000000014,0.0,262.36102
6409,RES,74.43,-94.59,67.0,1989-05-02,-33.02,-246.3,17.860000000000014,0.0,255.93784
6414,EUR,79.59,-85.56,10.0,1989-05-02,-37.59,-277.4,23.32000000000005,0.0,251.87134
6418,ALR,82.31,-62.17,30.0,1989-05-02,-30.27,-229.4,12.759999999999991,0.0,259.29565
6443,OTT,45.32,-75.67,114.0,1989-05-15,-13.38,-97.6,,3.6272795e-05,283.8747
6451,CAM,69.6,-105.8,27.0,1989-06-02,-19.12,-144.5,8.460000000000008,0.0,262.0938
6452,RES,74.43,-94.59,67.0,1989-06-02,-21.69,-162.0,11.52000000000001,0.0,265.30557
6456,ALR,82.31,-62.17,30.0,1989-06-02,-25.26,-189.2,12.880000000000024,0.0,271.0923
6457,EUR,79.59,-85.56,10.0,1989-06-02,-22.12,-168.7,8.26000000000002,0.0,271.22083
6470,OTT,45.32,-75.67,114.0,1989-06-15,-10.99,-80.6,,0.0,290.40393
6480,ALR,82.31,-62.17,30.0,1989-07-02,-25.39,-182.8,20.319999999999993,0.0,280.2936
6484,CAM,69.6,-105.8,27.0,1989-07-02,-16.47,-126.9,4.859999999999985,0.0,277.1841
6486,EUR,79.59,-85.56,10.0,1989-07-02,-16.37,-162.0,-31.039999999999992,1.1427866e-05,279.76605
6487,RES,74.43,-94.59,67.0,1989-07-02,-18.18,-137.9,7.539999999999992,0.0,276.10257
6505,OTT,45.32,-75.67,114.0,1989-07-15,-7.06,-46.5,,0.0,295.6185
6516,ALR,82.31,-62.17,30.0,1989-08-02,-24.55,-181.4,15.0,2.3486466e-05,275.09546
6518,RES,74.43,-94.59,67.0,1989-08-02,-17.21,-129.4,8.280000000000001,0.00010628514,275.65506
6522,EUR,79.59,-85.56,10.0,1989-08-02,-20.95,-162.7,4.900000000000006,0.0,274.22318
6529,CAM,69.6,-105.8,27.0,1989-08-02,-16.53,-127.9,4.340000000000003,7.216489e-06,280.39783
6551,OTT,45.32,-75.67,114.0,1989-08-15,-7.3,-50.5,,0.0,298.33182
6558,RES,74.43,-94.59,67.0,1989-09-02,-24.6,-182.4,14.400000000000006,4.2316275e-05,272.49384
6565,ALR,82.31,-62.17,30.0,1989-09-02,-28.88,-219.4,11.639999999999986,0.0,258.26315
6567,EUR,79.59,-85.56,10.0,1989-09-02,-26.65,-200.6,12.599999999999994,0.0,266.72684
6569,CAM,69.6,-105.8,27.0,1989-09-02,-18.92,-155.4,-4.039999999999992,3.678033e-05,271.93353
6576,OTT,45.32,-75.67,114.0,1989-09-15,-7.61,-45.9,,0.0,287.32935
6588,CAM,69.6,-105.8,27.0,1989-10-02,-24.96,-188.7,10.980000000000018,0.0,260.9138
6589,ALR,82.31,-62.17,30.0,1989-10-02,-36.88,-273.6,21.439999999999998,0.0,256.0324
6590,EUR,79.59,-85.56,10.0,1989-10-02,-33.56,-255.6,12.880000000000024,0.0,257.0684
6595,RES,74.43,-94.59,67.0,1989-10-02,-28.04,-204.1,20.22,1.1035782e-05,265.8467
6623,OTT,45.32,-75.67,114.0,1989-10-15,-8.61,-50.2,,0.0,285.8089
6627,RES,74.43,-94.59,67.0,1989-11-02,-33.51,-252.5,15.579999999999984,0.0,244.56502
6628,EUR,79.59,-85.56,10.0,1989-11-02,-34.93,-267.1,12.339999999999975,0.0,232.47891
6630,CAM,69.6,-105.8,27.0,1989-11-02,-33.2,-254.6,11.000000000000028,3.6150475e-06,256.06567
6631,ALR,82.31,-62.17,30.0,1989-11-02,-34.38,-260.4,14.640000000000043,0.0,235.76605
6655,OTT,45.32,-75.67,114.0,1989-11-15,-13.2,-88.6,,1.162041e-05,275.51697
6673,EUR,79.59,-85.56,10.0,1989-12-02,-39.39,-304.6,10.519999999999982,2.6589434e-05,248.56624
6674,RES,74.43,-94.59,67.0,1989-12-02,-35.79,-274.6,11.71999999999997,0.0,261.6878
6676,CAM,69.6,-105.8,27.0,1989-12-02,-34.4,-263.8,11.399999999999977,0.0,255.79958
6677,ALR,82.31,-62.17,30.0,1989-12-02,-35.06,-265.5,14.980000000000018,7.73827e-06,243.3938
6683,OTT,45.32,-75.67,114.0,1989-12-15,-21.91,-155.7,,0.0,266.92374
6696,EUR,79.59,-85.56,10.0,1990-01-02,-35.57,-267.6,16.95999999999998,0.0,240.07251
6698,RES,74.43,-94.59,67.0,1990-01-02,-35.49,-280.4,3.5200000000000387,0.0,243.67703
6709,ALR,82.31,-62.17,30.0,1990-01-02,-31.91,-236.2,19.080000000000013,0.0,236.41982
6713,CAM,69.6,-105.8,27.0,1990-01-02,-35.07,-268.0,12.560000000000002,2.5031153e-05,255.21005
6731,OTT,45.32,-75.67,114.0,1990-01-15,-17.62,-125.6,,0.0,255.64789
6743,EUR,79.59,-85.56,10.0,1990-02-02,-40.81,-311.0,15.480000000000018,0.0,226.64839
6746,RES,74.43,-94.59,67.0,1990-02-02,-37.76,-293.8,8.279999999999973,0.0,238.13966
6747,ALR,82.31,-62.17,30.0,1990-02-02,-32.5,-251.2,8.800000000000011,0.0,230.26318
